samp_name	technical_rep_id	assay_name	pcr_plate_id	quantificationCycle	estimatedNumberOfCopies_method	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	LoDLoQLevel
CMIC787-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	1125.162721	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC787-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	1407.476425	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC788-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	1688.405037	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC788-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	2342.643976	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC788-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	2650.627136	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC789-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	4528.891087	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC789-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	5098.864555	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC789-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	4157.75013	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC790-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	153.4819901	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC790-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	353.4013927	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC790-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	744.4289327	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC791-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	284.9547863	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC791-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	440.2735829	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC791-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	151.79649	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC792-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	297.3492444	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC792-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	697.8040934	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC792-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	680.5689931	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC793-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	6532.123566	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC793-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	7437.318802	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC793-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	5758.460999	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC794-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	3608.686209	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC794-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	4458.925724	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC794-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	3959.481478	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC795-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	415.158689	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC795-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	450.1741529	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC795-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	839.7501111	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC796-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	3595.818996	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC796-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	3627.744436	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC796-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	3780.956745	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC797-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	184534.6527	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC797-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	165403.656	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC797-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	174710.9985	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC798-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	34895.4277	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC798-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	36116.36353	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC798-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	42489.87961	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC799-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	5081.135273	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC799-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	4539.771557	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC799-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	4330.852985	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC800-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	1150.237799	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC800-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	583.2111835	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC800-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	458.956331	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC801-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	636.3370419	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC801-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	782.5443149	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC801-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	947.8988051	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC802-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	4161.155701	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC802-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	3685.547829	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC802-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	5052.968979	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC806-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	64258.16345	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC806-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	64072.15881	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC806-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	60561.85913	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC807-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	10659.33609	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC807-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	11772.61066	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC807-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	13227.59914	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC808-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	27664.711	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC808-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	29462.27264	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC808-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	31445.14656	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC809-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	246.0846305	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC809-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	170.4419553	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC809-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	207.4252963	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC810-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	5526.494503	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC810-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	6423.820019	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC810-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	3588.983774	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC811-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	3889.851093	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC811-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	3133.107424	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC811-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	3060.100079	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC812-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	986.8345857	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC812-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	1349.849939	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC812-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	1050.771952	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC814-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	5763.491154	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC814-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	6453.717232	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC814-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	5369.307518	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC817-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	7915.995121	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC817-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	7525.135517	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC817-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	7240.564823	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC818-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	1891.890407	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC818-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	2301.813841	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC818-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	1843.921542	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC819-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	16973.15788	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC819-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	14879.02546	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC819-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	15852.64492	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC820-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	11869.25125	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC820-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	11789.35337	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC820-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	12554.30889	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
